danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	id	uri	track_href	analysis_url	duration_ms	time_signature
0.865	0.373	0	-6.318	1	0.0494	0.00529	0.114	0.0996	0.387	131.525	audio_features	50BU7CASkTKTfAVKpgS8mb	spotify:track:50BU7CASkTKTfAVKpgS8mb	https://api.spotify.com/v1/tracks/50BU7CASkTKTfAVKpgS8mb	https://api.spotify.com/v1/audio-analysis/50BU7CASkTKTfAVKpgS8mb	240333	4
0.702	0.543	0	-4.638	1	0.0298	0.0499	2.8e-5	0.147	0.418	98.452	audio_features	6gMfcduNZs9GPqZihg82YG	spotify:track:6gMfcduNZs9GPqZihg82YG	https://api.spotify.com/v1/tracks/6gMfcduNZs9GPqZihg82YG	https://api.spotify.com/v1/audio-analysis/6gMfcduNZs9GPqZihg82YG	190067	4
0.535	0.704	7	-6.251	1	0.0317	0.055	2e-5	0.185	0.864	173.71	audio_features	7aGQ6zDj0Wzk8CyhXIN8h8	spotify:track:7aGQ6zDj0Wzk8CyhXIN8h8	https://api.spotify.com/v1/tracks/7aGQ6zDj0Wzk8CyhXIN8h8	https://api.spotify.com/v1/audio-analysis/7aGQ6zDj0Wzk8CyhXIN8h8	195640	4
0.523	0.503	2	-11.994	1	0.033	0.659	0	0.0671	0.842	140.02	audio_features	1zB2DtY1QBzjaldmfKJ7gF	spotify:track:1zB2DtY1QBzjaldmfKJ7gF	https://api.spotify.com/v1/tracks/1zB2DtY1QBzjaldmfKJ7gF	https://api.spotify.com/v1/audio-analysis/1zB2DtY1QBzjaldmfKJ7gF	170987	4
0.672	0.523	8	-7.035	1	0.0443	0.03	0.184	0.128	0.473	171.692	audio_features	6xuAWR6cl8yUVWMruCljjC	spotify:track:6xuAWR6cl8yUVWMruCljjC	https://api.spotify.com/v1/tracks/6xuAWR6cl8yUVWMruCljjC	https://api.spotify.com/v1/audio-analysis/6xuAWR6cl8yUVWMruCljjC	165427	4
0.533	0.613	5	-10.142	1	0.0325	0.167	0.0215	0.106	0.602	164.005	audio_features	1ALupMiOP3Z5iiTk4MV3gH	spotify:track:1ALupMiOP3Z5iiTk4MV3gH	https://api.spotify.com/v1/tracks/1ALupMiOP3Z5iiTk4MV3gH	https://api.spotify.com/v1/audio-analysis/1ALupMiOP3Z5iiTk4MV3gH	207029	4
0.637	0.478	1	-15.379	1	0.0474	0.616	0	0.202	0.583	132.424	audio_features	4SGGO9xRfFWlMHFTyBnQ3y	spotify:track:4SGGO9xRfFWlMHFTyBnQ3y	https://api.spotify.com/v1/tracks/4SGGO9xRfFWlMHFTyBnQ3y	https://api.spotify.com/v1/audio-analysis/4SGGO9xRfFWlMHFTyBnQ3y	243467	4
0.229	0.951	4	-3.805	0	0.114	4.13e-5	0.645	0.169	0.303	103.084	audio_features	5s6LD9faIo8OudBgqtb8wE	spotify:track:5s6LD9faIo8OudBgqtb8wE	https://api.spotify.com/v1/tracks/5s6LD9faIo8OudBgqtb8wE	https://api.spotify.com/v1/audio-analysis/5s6LD9faIo8OudBgqtb8wE	299584	4
0.335	0.413	4	-6.946	0	0.0304	0.0428	0.0551	0.0777	0.213	144.077	audio_features	75Z4OXIrNos9KxoF0nzASv	spotify:track:75Z4OXIrNos9KxoF0nzASv	https://api.spotify.com/v1/tracks/75Z4OXIrNos9KxoF0nzASv	https://api.spotify.com/v1/audio-analysis/75Z4OXIrNos9KxoF0nzASv	370787	3
0.732	0.395	4	-10.327	0	0.0291	0.646	0.853	0.0802	0.344	124.892	audio_features	36uf5KnHIvF7XfoRrZeSbD	spotify:track:36uf5KnHIvF7XfoRrZeSbD	https://api.spotify.com/v1/tracks/36uf5KnHIvF7XfoRrZeSbD	https://api.spotify.com/v1/audio-analysis/36uf5KnHIvF7XfoRrZeSbD	234573	4
0.334	0.959	7	-0.489	1	0.0739	0.139	0.583	0.307	0.191	109.74	audio_features	5JNGLEx03Suk9jV0kVZNdh	spotify:track:5JNGLEx03Suk9jV0kVZNdh	https://api.spotify.com/v1/tracks/5JNGLEx03Suk9jV0kVZNdh	https://api.spotify.com/v1/audio-analysis/5JNGLEx03Suk9jV0kVZNdh	80427	4
0.586	0.868	5	-10.398	1	0.0664	0.012	0	0.384	0.645	100.277	audio_features	7fkBZRfi1Dl9v4c8B5p5cO	spotify:track:7fkBZRfi1Dl9v4c8B5p5cO	https://api.spotify.com/v1/tracks/7fkBZRfi1Dl9v4c8B5p5cO	https://api.spotify.com/v1/audio-analysis/7fkBZRfi1Dl9v4c8B5p5cO	117133	4
0.808	0.895	9	-7.405	1	0.0782	0.0299	0	0.344	0.515	115.021	audio_features	2z1N8CuRW3G9Qz9uJJphwU	spotify:track:2z1N8CuRW3G9Qz9uJJphwU	https://api.spotify.com/v1/tracks/2z1N8CuRW3G9Qz9uJJphwU	https://api.spotify.com/v1/audio-analysis/2z1N8CuRW3G9Qz9uJJphwU	199413	4
0.686	0.994	11	-5.282	0	0.0503	0.0296	0.117	0.116	0.449	140.994	audio_features	3G3IGbIbVx7SBJgqgWnm4q	spotify:track:3G3IGbIbVx7SBJgqgWnm4q	https://api.spotify.com/v1/tracks/3G3IGbIbVx7SBJgqgWnm4q	https://api.spotify.com/v1/audio-analysis/3G3IGbIbVx7SBJgqgWnm4q	212720	4
0.5	0.256	7	-14.489	1	0.0296	0.0537	0.0114	0.161	0.157	107.992	audio_features	5dXrUskg342cDaknexI3q5	spotify:track:5dXrUskg342cDaknexI3q5	https://api.spotify.com/v1/tracks/5dXrUskg342cDaknexI3q5	https://api.spotify.com/v1/audio-analysis/5dXrUskg342cDaknexI3q5	261987	4
0.57	0.678	2	-10.271	1	0.026	0.00146	0.0481	0.136	0.875	115.893	audio_features	66XflPM5MF4qnRB7UhcXO9	spotify:track:66XflPM5MF4qnRB7UhcXO9	https://api.spotify.com/v1/tracks/66XflPM5MF4qnRB7UhcXO9	https://api.spotify.com/v1/audio-analysis/66XflPM5MF4qnRB7UhcXO9	298240	4
0.791	0.467	0	-8.594	1	0.418	0.318	0.809	0.0625	0.829	193.991	audio_features	3qGajY6Ob9ASE9Veh7964U	spotify:track:3qGajY6Ob9ASE9Veh7964U	https://api.spotify.com/v1/tracks/3qGajY6Ob9ASE9Veh7964U	https://api.spotify.com/v1/audio-analysis/3qGajY6Ob9ASE9Veh7964U	179693	4
0.736	0.89	1	-6.401	1	0.0432	0.172	3.58e-5	0.126	0.678	117.257	audio_features	4O6KbtgD0Z0NHvoLQvPnsJ	spotify:track:4O6KbtgD0Z0NHvoLQvPnsJ	https://api.spotify.com/v1/tracks/4O6KbtgD0Z0NHvoLQvPnsJ	https://api.spotify.com/v1/audio-analysis/4O6KbtgD0Z0NHvoLQvPnsJ	210627	4
